state,year,total_injuries,total_annual_average_employees,avg_injuries_per_employee
IL,2021,54306.0,1665054.0,0.03261515842729425
IL,2022,57833.0,1809691.0,0.0319573894106784
IL,2023,61673.0,2017312.0,0.03057186989419584
IN,2016,29408.0,814988.0,0.036083966880493944
IN,2017,29325.0,856354.0,0.034244015909308534
IN,2018,33762.0,905310.0,0.037293302846538756
IN,2019,34772.0,972358.0,0.03576049150621479
IN,2020,27074.0,863164.0,0.03136599765513854
IN,2021,32180.0,929678.0,0.03461413521670944
IN,2022,32518.0,1026376.0,0.03168234643054787
IN,2023,32146.0,1101968.0,0.029171445994802026
KS,2016,10821.0,301743.0,0.03586164384923594
KS,2017,9600.0,267762.0,0.03585273489143344
KS,2018,11458.0,317100.0,0.03613371176285084
KS,2019,11473.0,319307.0,0.03593093793747083
KS,2020,8966.0,282027.0,0.031791282394948
KS,2021,10454.0,311570.0,0.03355265269441859
KS,2022,11206.0,341639.0,0.03280070483756246
KS,2023,11451.0,364228.0,0.0314390985865996
KY,2016,20872.0,551984.0,0.03781269022290501
KY,2017,21193.0,547013.0,0.0387431377316444
KY,2018,23905.0,609187.0,0.039240824246085354
KY,2019,20271.0,576183.0,0.03518153086779721
KY,2020,15477.0,496229.0,0.031189229166372782
KY,2021,18732.0,605714.0,0.030925486285606738
KY,2022,20459.0,654167.0,0.031274888522349796
KY,2023,21245.0,684463.0,0.031038931249753456
LA,2016,8453.0,475238.0,0.01778687731199946
LA,2017,8421.0,479488.0,0.017562483315536573
LA,2018,9644.0,523236.0,0.01843145349326117
LA,2019,9220.0,526064.0,0.017526384622403357
LA,2020,6925.0,356653.0,0.019416631852248543
LA,2021,8047.0,398338.0,0.020201436970612895
LA,2022,8692.0,433633.0,0.020044599926666098
LA,2023,8665.0,490604.0,0.017661902471239534
MA,2016,20421.0,640371.0,0.03188932665595413
MA,2017,19951.0,637918.0,0.03127517956853389
MA,2018,23483.0,719164.0,0.03265319176154535
MA,2019,26297.0,812256.0,0.03237526100145767
MA,2020,18247.0,681221.0,0.026785727392432117
MA,2021,23193.0,805254.0,0.028802092259088436
MA,2022,26266.0,945124.0,0.027791062336793904
MA,2023,25550.0,963873.0,0.026507641566886925
MD,2016,8099.0,234543.0,0.034530981525775654
MD,2017,13865.0,396275.0,0.03498832881206233
MD,2018,15459.0,423883.0,0.036469969307568365
MD,2019,15794.0,470540.0,0.033565690483274534
MD,2020,15227.0,483155.0,0.0315157661619977
MD,2021,16343.0,488839.0,0.03343227524808782
MD,2022,19795.0,590717.0,0.03351012413727724
MD,2023,20034.0,678396.0,0.029531424123962997
ME,2016,10258.0,228698.0,0.04485391214614907
ME,2017,6147.0,115545.0,0.05320005192782033
ME,2018,6801.0,134241.0,0.050662614253469504
ME,2019,7807.0,143997.0,0.05421640728626291
ME,2020,5983.0,128668.0,0.046499518139708394
ME,2021,6788.0,128949.0,0.05264096658368812
ME,2022,6894.0,138743.0,0.049688993318581835
ME,2023,7311.0,138841.0,0.05265735625643722
MI,2016,39367.0,1203313.0,0.03271551125933153
MI,2017,35216.0,1068571.0,0.03295616295033273
MI,2018,43560.0,1283932.0,0.03392703040347931
MI,2019,41470.0,1256106.0,0.033014729648612455
MI,2020,30374.0,1027312.0,0.029566480290311024
MI,2021,36758.0,1191297.0,0.030855445787238613
MI,2022,43815.0,1404592.0,0.031194111884447585
MI,2023,45281.0,1538091.0,0.02943974056151424
MN,2016,7988.0,245836.0,0.03249320685334939
MN,2017,33237.0,1044795.0,0.03181198225489211
MN,2018,34521.0,1018844.0,0.03388251783393729
MN,2019,35211.0,1065450.0,0.03304800788399268
MN,2020,28649.0,1010126.0,0.028361808328861943
MN,2021,31999.0,1053523.0,0.030373328346889435
MN,2022,32740.0,1268035.0,0.025819476591734454
MN,2023,38401.0,1335707.0,0.028749568580534502
MO,2016,22758.0,688714.0,0.033044195413480776
MO,2017,19814.0,631174.0,0.0313922943594001
MO,2018,23075.0,711468.0,0.032432941467500996
MO,2019,22594.0,683439.0,0.03305927815064695
MO,2020,17984.0,624845.0,0.028781537821379703
MO,2021,20737.0,637497.0,0.03252878052759464
MO,2022,22166.0,694919.0,0.031897242700228375
MO,2023,23922.0,772739.0,0.030957412528680447
MS,2016,9466.0,314150.0,0.030132102498806303
MS,2017,8226.0,313807.0,0.026213564388302364
MS,2018,9517.0,341267.0,0.02788725543342896
MS,2019,9331.0,346723.0,0.02691197295824044
